@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23353012,B102G55,1410,0.97,2235,23780,90,245,778,780,785,815,836
23353013,B103G33,1410,0.97,2028,21400,90,243,781,780,786,816,837
23353014,B102G55,1500,0.92,1319,20520,74,246,786,776,785,815,832
23353015,B102G55,1500,0.92,672,20530,90,242,777,775,785,815,830
23353016,B102G55,1500,0.92,1320,20550,90,242,776,775,785,815,830
23353017,B102G55,1500,0.92,700,21030,90,242,781,775,785,815,830
23353019,B103G55,1500,0.92,1315,20700,90,250,785,783,787,817,833
23353020,B102G55,1500,0.92,1758,18970,90,247,803,810,802,832,850
23353021,B100F55,1340,1.17,1741,21470,82,236,818,825,827,857,882
23353022,B100F55,1340,1.17,1869,23100,80,260,827,825,833,863,886
23353023,B100F55,1340,1.17,1879,23190,80,262,830,825,836,866,887
23353024,B100F55,1295,1.17,1868,22330,80,262,824,829,837,867,885
23353025,B105F55,1390,0.86,2216,21120,91,266,851,850,845,875,893
23353026,B105F55,1390,0.86,2120,19850,106,266,850,850,853,883,901
23353027,B105F55,1390,0.86,2149,20110,101,267,851,850,848,878,895
23353028,B105F55,1390,0.86,2196,20550,100,267,849,850,847,877,894
23353029,B105F55,1390,0.86,1989,18920,100,267,849,850,847,877,894
23353030,B105F55,1390,0.86,2149,20311,100,266,850,850,847,877,894
23353031,B105F55,1390,0.86,2196,21070,94,266,850,850,841,871,887
23353032,B105F55,1390,0.86,2164,20453,80,267,851,850,834,864,879
23353033,B105F55,1390,0.86,2193,20610,95,266,849,850,842,872,888
23353034,B105F55,1390,0.86,2158,20240,100,266,850,850,846,876,893
23353035,B105F55,1390,0.86,2192,20550,100,266,849,850,847,877,894
23353036,B105F55,1390,0.86,2171,20330,93,267,855,850,846,876,892
23353037,B105F55,1390,0.86,2100,20250,100,265,848,850,846,876,892
23353038,B105F55,1390,0.86,2076,19390,100,267,850,850,846,876,893
23353039,B105F55,1390,0.86,2040,19160,100,268,848,850,847,877,893
23353040,B105F55,1390,0.86,2082,19490,93,269,860,847,850,881,897
23353041,C114G55,1210,1.17,1907,21610,95,263,850,825,862,892,907
23353042,C114G55,1210,1.17,1902,21180,91,256,845,825,855,885,900
23353043,D032F55,1325,1.17,1497,18380,90,253,820,825,855,885,902
23353044,D032F55,1325,1.17,1498,18850,90,249,825,825,858,888,907
23353045,D032F55,1325,1.17,1470,18000,88,249,833,825,857,887,904
23353046,D031B33,1325,1.17,1499,18350,80,254,829,825,854,884,900
23353047,D031B33,1325,1.17,1482,18140,83,252,841,843,861,891,913
23353048,D031B33,1325,1.17,1527,18670,80,252,836,825,855,885,902
23353049,B100F55,1445,1.27,1514,21780,80,242,831,825,852,882,897
23353050,B100F55,1445,1.27,1523,21890,80,265,824,825,845,875,891
23353051,B100F55,1445,1.27,1507,21690,80,262,824,825,846,876,893
23353052,B100F55,1445,1.27,1518,21870,82,262,820,825,838,877,895
23353053,B100F55,1445,1.27,1508,21620,78,266,834,825,839,879,897
23353054,B105F55,1445,1.47,1427,20500,80,246,821,825,836,876,893
23353055,B105F55,1445,1.27,1407,20250,81,253,826,825,837,877,893
23353056,B105F55,1445,1.27,1428,20570,83,254,824,825,837,877,894
23353057,B105F55,1445,1.27,1420,20450,84,256,822,825,837,877,895
23353058,B105F55,1445,1.27,1424,20490,85,250,821,825,840,880,900
23353059,B105F55,1445,1.27,1378,20120,85,255,823,825,842,882,903
23353060,B105F55,1445,1.27,1418,20410,85,250,825,825,842,882,904
23353061,B105F55,1445,1.27,1402,20170,85,245,824,825,842,882,904
